,511,,,,,,,515,,,,621,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,632,,,,,635,,,,641,,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711,,811,,,821,,,
,,5113,,,,,,,5151,5152,5153,,,6221,,,,,,,,6222,,,,,,,6223,,,,,,,6228,,,,,,,,6271,,,,,,,,,,,,6272,6273,6274,6277,,,,,,,,6278,,,,1541,,6323,,,,,6351,6352,6353,,,,6421,,,,,,,,,,,,,,,,,,,,6422,6423,6424,6425,6426,6427,,,,,,,,6428,,,,,,,7118,,8111,8118,,8211,8212,
,,,51131,,,51132,51138,,,,,,,,62211,62212,62213,62214,62215,62216,62217,,62221,62222,62223,62224,62225,62226,,62231,62232,62233,62234,62235,62236,,62281,62282,62283,62284,62285,62286,,,62711,627111,627112,627113,627114,627115,62712,627121,627122,627123,627124,,,,,62771,62772,62773,62778,,,,,62788,62789,,,,,63231,63232,63238,,,,,,,,,64211,642111,642112,642113,642114,642115,642116,642117,64212,642121,642122,642123,642124,642125,642126,642127,64213,64214,64218,,,,,,,64271,64272,64273,64274,64275,64276,64278,,64281,64282,64287,64288,64289,,,,,,,,,
,,,400100,,,400200,400200,,450100,450600,450600,,,,COGS62211,COGS62212,COGS62213,COGS62214,COGS62215,COGS62216,COGS62217,,COGS62221,COGS62222,COGS62223,COGS62224,COGS62225,COGS62226,,COGS62231,COGS62232,COGS62233,COGS62234,COGS62235,COGS62236,,COGS62281,COGS62282,COGS62283,COGS62284,COGS62285,COGS62286,,,,COGS627111,COGS627112,COGS627113,COGS627114,COGS627115,,COGS627121,COGS627122,COGS627123,COGS627124,COGS6272,COGS6273,COGS6274,,COGS62771,COGS62772,COGS62773,COGS62778,,,,,COGS62788,COGS62789,,,,,410100,410200,410200,,460500,460100,460500,431000,,,,,430200,430200,430200,430200,430300,430400,430200,,430200,430200,430200,430200,430300,430400,430200,430900,430900,430900,,431700,432000,431900,,,432400,431600,431500,432600,439900,431500,432600,,431300,431400,439900,439900,439900,,459900,,432900,432900,,510100,510200,
,,0,Sales of merchandise and finished goods,,,sales of maintenance,sales of maintenance,0,Interest earned,Foreign exchange gains,Foreign exchange gains,0,0,0,Development department - Salary,Development department - Insurance,Development department - Union fee,Development department - Bonus,Development department - Provision for bonuses,Development department - Business trip allowance,Development department - Severance allowance,0,24/7 department - Salary,24/7 department - Insurance,24/7 department - Union fee,24/7 department - Bonus,24/7 department - Provision for bonuses,24/7 department - Business trip allowance,0,UI/UX department - Salary,UI/UX department - Insurance,UI/UX department - Union fee,UI/UX department - Bonus,UI/UX department - Provision for bonuses,UI/UX department - Business trip allowance,0,Marketing department - Salary,Marketing department - Insurance,Marketing department - Union fee,Marketing department - Bonus,Marketing department - Provision for bonuses,Marketing department - Business trip allowance,0,0,0,Indirect labour - Employees - Salary,Indirect labour - Employees - Insurance,Indirect labour - Employees - Union fees,Indirect labour - Employees - Tax,Indirect labour - Employees - Bonus,0,Indirect labour - Manager - Salary,Indirect labour - Manager - Insurance,Indirect labour - Manager - Union fees,Indirect labour - Manager - Tax,Use of auxiliary materials,Use of tools and supplies,Depreciation,0,Rental fee,"Electricity, water,...","Telephone, internet, fax, email",Other services rendered,,,,0,Other sundry costs paid in cash,Expenses without invoice,0,0,0,0,cost of merchandise and finished goods,cost of maintenance,cost of maintenance,0,Foreign exchange losses,Interest paid,Foreign exchange losses,Sales miscellaneous expense,,0,0,0,Salary&wages,Salary&wages,Salary&wages,Salary&wages,Bonuses,Provision for bonuses,Salary&wages,0,Salary&wages,Salary&wages,Salary&wages,Salary&wages,Bonuses,Provision for bonuses,Salary&wages,Welfare expense,Welfare expense,Welfare expense,0,Supplies expense,Depreciation expense,Taxes and dues,0,0,Rent expense,Utilities expense,Communication expense,Commission,Other expenses,Communication expense,Commission,0,Entertaiment expense,Transportation expense,Other expenses,Other expenses,Other expenses,0,Miscellaneous incomes,0,Miscellaneous loss,Miscellaneous loss,0,Current business income tax charge,,
,,0,0,,,0,0,0,0,0,0,0,0,0,給与,給与,給与,賞与金,賞与引当金繰入額,給与,給与,0,給与,給与,給与,賞与金,賞与引当金繰入額,給与,0,給与,給与,給与,賞与金,賞与引当金繰入額,給与,0,給与,給与,給与,賞与金,賞与引当金繰入額,給与,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,消耗品費,減価償却費,0,家賃地代,水道光熱費,通信費,支払手数料,,,,0,雑費(振込手数料等),雑費(振込手数料等),0,0,0,0,0,#N/A,#N/A,0,#N/A,#N/A,#N/A,雑費(振込手数料等),0,0,0,0,給与,給与,給与,給与,賞与金,賞与引当金繰入,給与,0,給与,給与,給与,給与,賞与金,賞与引当金繰入,給与,福利厚生費,福利厚生費,福利厚生費,0,消耗品費,減価償却費,租税公課,0,0,家賃地代,水道光熱費,通信費,支払手数料,雑費(振込手数料等),通信費,支払手数料,0,接待交際費,旅費交通費,雑費(振込手数料等),雑費(振込手数料等),雑費(振込手数料等),0,#N/A,0,雑費(振込手数料等),雑費(振込手数料等),0,法人税、住民税及び事業税,#N/A,
,売上,サービス提供の売上,サービス提供の売上,,,サービス提供の売上,サービス提供の売上,財務収益,デポジット、貸付金の利息,発生取引の為替差益,為替期末再評価差益,原材料費,直接労務費,直接労務費,給与,保険料,労働組合費,ボーナス,賞与引当金繰入額,0,0,直接労務費,給与,保険料,労働組合費,ボーナス,賞与引当金繰入額,0,直接労務費,給与,保険料,労働組合費,ボーナス,賞与引当金繰入額,0,直接労務費,給与,保険料,労働組合費,ボーナス,賞与引当金繰入額,0,製造間接費,製造従業員,スタッフ,給与,保険料,労働組合費,税金,ボーナス,日本人管理者,給与,保険料,労働組合費,税金,原材料,消耗工具備品費,固定資産の減価償却費,外部用役費,事務所レンタル料（生産）,"電気代と水道代,...(生産)",電話・インタネット・ファクス・メール,その他外部用役費,,,,その他現金出金,その他現金出金,製造の損金不算入費用,仕掛品,仕掛品（サービス・建物）,売上原価,サービス提供の売上原価,サービス提供の売上原価,サービス提供の売上原価,サービス提供の売上原価,財務費用,発生取引の為替差損,借入利息,為替再評価差損,販売費,,一般管理費,管理部門給与,従業員,給与,保険料,労働組合費,税金,ボーナス,賞与引当金繰入額,給与,日本人の管理者,給与,保険料,労働組合費,税金,ボーナス,賞与引当金繰入額,出張手当,アパートレンタル料,外国人の子供の学費,福利費用,事務用品費,消耗工具備品費,固定資産の減価償却費,租税公課,引当金,外部用役費,事務所レンタル料,電話・インターネット・電気代,電気通信料金,コンサルティング費用,銀行手数料,郵送費、他のサービス,その他外部用役費,その他現金出金,交際費,出張費,その他現金出金,3Sが立替支払ったその他費用,損金不算入管理費用,その他収入,その他収入,その他費用,その他費用,その他費用,法人税,当期法人所得税,繰延法人所得税,
Date,Sales,Services sale,Services sale : Software development,,,Services sale : System Support Service,Services sale : MarketingService,Financial activities income,"Interest on Deposits, Loans",Gains of Exchange Rate Differences Arising in Current Period,Gains from Exchange Rate Revaluation at the end of FY,Direct raw materials cost,Direct labor cost,Direct labor cost - Development department,Development department - Salary,Development department - Insurance,Development department - Union fee,Development department - Bonus,Development department - Provision for bonuses,Development department - Business trip allowance,Development department - Severance allowance,Direct labor cost - 24/7 department,24/7 department - Salary,24/7 department - Insurance,24/7 department - Union fee,24/7 department - Bonus,24/7 department - Provision for bonuses,24/7 department - Business trip allowance,Direct labor cost - UI/UX department,UI/UX department - Salary,UI/UX department - Insurance,UI/UX department - Union fee,UI/UX department - Bonus,UI/UX department - Provision for bonuses,UI/UX department - Business trip allowance,Direct labor cost - Marketing department,Marketing department - Salary,Marketing department - Insurance,Marketing department - Union fee,Marketing department - Bonus,Marketing department - Provision for bonuses,Marketing department - Business trip allowance,General operation cost,Indirect labour,Indirect labour - Employees,Indirect labour - Employees - Salary,Indirect labour - Employees - Insurance,Indirect labour - Employees - Union fees,Indirect labour - Employees - Tax,Indirect labour - Employees - Bonus,Indirect labour - Manager,Indirect labour - Manager - Salary,Indirect labour - Manager - Insurance,Indirect labour - Manager - Union fees,Indirect labour - Manager - Tax,Use of auxiliary materials,Use of tools and supplies,Depreciation,Services rendered,Rental fee,"Electricity, water,...","Telephone, internet, fax, email",Other services rendered,Software development,System Support Serice,Other services expenses,Sundry costs paid in cash,Other sundry costs paid in cash,Expenses without invoice,Cost for work in process,Work in progress for services and constructions,Cost of goods sold,Cost of goods sold - service,COGS - service: Software development,COGS - service: System Support Service,COGS - service: Marketing,Financial activities expenses,Losses of Exchange Rate Differences Arising in Current Period,Interest Expenses,Losses from Exchange Rate Revaluation,Selling expenses,Souvenir to Japan,General & administration expenses,Office salaries,Management Expenses - Employees,Management Expenses - Employees - Salary,Management Expenses - Employees - Insurance,Management Expenses - Employees - Union fee,Management Expenses - Employees - Tax,Management Expenses - Employees - Bonus,Provision for bonuses,Management Expenses - Employees - Business trip allowance,Management Expenses - Manager,Management Expenses - Manager - Salary,Management Expenses - Manager - Insurance,Management Expenses - Manager - Union fee,Management Expenses - Manager - Tax,Management Expenses - Manager - Bonus,Provision for bonuses,Management Expenses - Manager - business trip allowance,Expense for apartment rental fees_JPs staff,Tuition for foreigner's children,Welfare expense for staff,Indirect materials,Office supplies,Depreciation,"Taxes, fees and charges",Expenses from provisions,Services rendered by outsiders,Office rental fee,"Electricity, water,…",Telecommunications,"Consutanl fee (lawyer, recuitment, accounting...)",Bank charge,Delivery fee,Other services,Sundry cash expenses,Public relations expenses,Business trip expenses,Sundry cash expenses,Other expenses that 3S paid on behalf,Expenses without invoice,Other income,Other income,Other expenses,"Other expenses - Compensation, fines and other costs",Other expenses - Difference payment,Business Income tax charge,Current business income tax charge,Deffered business income tax charge,
Apr-25,"2,880,129,396","2,880,129,396","2,152,287,696","1,957,614,300","194,673,396","727,841,700",-,"868,605,166","1,505,238","867,099,928",-,-,"1,565,122,345","1,170,091,136","830,613,636","120,185,000","11,180,000","388,552,500","-183,290,000","600,000","2,250,000","236,078,500","163,840,000","28,616,500","2,662,000","96,635,500","-55,675,500",-,"70,836,641","47,835,391","7,955,000","740,000","29,025,000","-14,718,750",-,"88,116,068","57,181,818","10,342,000","936,000",-,"19,656,250",-,"293,061,726",-,-,-,-,-,-,-,-,-,-,-,-,-,"56,991,754","7,252,267","228,817,705","57,200,000",-,"729,510","170,888,195",,,,-,,-,"1,858,184,071","1,858,184,071","1,770,068,003","1,770,068,003","1,494,872,906","275,195,097",,"2,437,430","2,437,430",-,-,-,,"730,373,727","532,656,094","97,742,509","68,333,009","9,718,000","904,000",-,"34,995,000","-16,807,500","600,000","294,512,489","183,128,608",-,-,"64,651,381",-,"46,732,500",-,"34,064,413","77,964,968","28,371,715",-,"6,372,051","2,350,300",-,-,"168,760,632","14,300,000",-,"1,069,888","101,958,333","3,755,400","11,284,632","36,392,379","20,234,650","8,200,339","1,550,148","10,424,163",-,"60,000","1,144,408","1,144,408",-,-,-,"91,016,109","91,016,109",-,"1,246,999,810"
May-25,"3,887,476,495","3,887,476,495","2,725,156,495","2,479,717,800","245,438,695","992,880,000","169,440,000","47,727,406","1,732,002","45,995,404",-,-,"1,606,109,284","1,179,836,079","827,498,579","126,312,500","11,750,000",-,"214,275,000",-,-,"236,078,500","163,840,000","28,616,500","2,662,000",-,"40,960,000",-,"80,635,455","55,670,455","9,460,000","880,000",-,"14,625,000",-,"109,559,250","78,625,000","10,342,000","936,000",-,"19,656,250",-,"617,869,609",-,-,-,-,-,-,-,-,-,-,-,-,-,"58,329,203","7,252,267","552,288,139","57,200,000","7,630,186","729,510","486,728,443",,,,-,,-,"2,223,978,893","2,223,978,893","2,312,094,961","2,312,094,961","1,837,484,410","276,935,233","197,675,318","24,960,583","24,960,583",-,-,-,,"837,675,724","612,535,882","123,506,091","88,534,091","9,718,000","904,000",-,-,"24,350,000",-,"352,223,608","182,264,538",-,-,"122,414,695",-,"46,305,375","1,239,000","35,797,328","92,061,973","8,946,882",-,"8,946,546","2,350,300",-,-,"192,617,251","14,300,000","1,907,546","1,205,368","101,958,333","2,833,925","11,881,739","58,530,340","21,225,745",-,"7,004,481","7,821,264",-,"6,400,000","47,517","47,517",-,-,-,"103,063,195","103,063,195",-,"760,520,150"
