Account Code アカウント,,,Internal code,Internal Account Name,KEIEI houkoku,詳細,Description,Chỉ tiêu,Apr-25,May-25,Jun-25,FY2025,Net amount,COGS/SGA,
,,,,,,,,,,,,,,,
511,,,,,,売上,Sales,Doanh thu bán hàng và cung cấp dịch vụ,"2,880,129,396","3,887,476,495","3,819,921,856","10,587,527,747","-10,587,527,747",SALE,
,5113,,,0,0,サービス提供の売上,Services sale,Doanh thu cung cấp dịch vụ,"2,880,129,396","3,887,476,495","3,819,921,856","10,587,527,747","-10,587,527,747",SALE,
,,51131,400100,Sales of merchandise and finished goods,0,サービス提供の売上,Services sale : Software development,Doanh thu cung cấp dịch vụ: Sản xuất phần mềm,"2,152,287,696","2,725,156,495","2,729,473,856","7,606,918,047","-7,606,918,047",SALE,
,,,,,,,,"U-Inform, U-manage, U-Bridge4 development","1,957,614,300","2,479,717,800","2,483,633,880","6,920,965,980",,,
,,,,,,,,Design project,"194,673,396","245,438,695","245,839,976","685,952,067",,,
,,51132,400200,sales of maintenance,0,サービス提供の売上,Services sale : System Support Service,Doanh thu cung cấp dịch vụ: Dịch vụ hỗ trợ hệ thống UBIQULAR,"727,841,700","992,880,000","994,448,000","2,715,169,700","-2,715,169,700",SALE,
,,51138,400200,sales of maintenance,0,サービス提供の売上,Services sale : MarketingService,Doanh thu cung cấp dịch vụ: Dịch vụ nghiên cứu thị trường,-,"169,440,000","96,000,000","265,440,000","-265,440,000",SALE,
515,,,,0,0,財務収益,Financial activities income,Doanh thu hoạt động tài chính,"868,605,166","47,727,406","5,368,004","921,700,576","-921,700,576",Non-Ope-Income,
,5151,,450100,Interest earned,0,デポジット、貸付金の利息,"Interest on Deposits, Loans","Lãi cho vay, tiền gửi","1,505,238","1,732,002","1,665,822","4,903,062","-4,903,062",Non-Ope-Income,
,5152,,450600,Foreign exchange gains,0,発生取引の為替差益,Gains of Exchange Rate Differences Arising in Current Period,Chênh lệch lãi tỷ giá phát sinh trong kỳ,"867,099,928","45,995,404","3,702,182","916,797,514","-916,797,514",Non-Ope-Income,
,5153,,450600,Foreign exchange gains,0,為替期末再評価差益,Gains from Exchange Rate Revaluation at the end of FY,Lãi chênh lệch tỷ giá do đánh giá lại cuối năm,-,-,-,-,0,Non-Ope-Income,
621,,,,0,0,原材料費,Direct raw materials cost,"Chi phí nguyên liệu, vật liệu trực tiếp",-,-,-,-,-,,
