CÔNG TY TNHH GLORY SOFTWARE VIETNAM,,,,,,,,,,,,,,,,,,,,,,,,,,
Income statement- 損益計算書（月次推移）,,,,,,,,,,,,,,,,,,,,,,,,,,
For the fiscal year end 31/03/2025,,,,,,,,,,,,,,,,,,,,,,,,,,
単位： Vietnamese Dong,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,4月,5月,6月,7月,8月,9月,,10月,11月,12月,1月,2月,3月,,,,
Account Code アカウント,,,Internal code,Internal Account Name,KEIEI houkoku,詳細,Description,Chỉ tiêu,Đơn giá,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,FY2025,Net amount,COGS/SGA,
,,,,,,,,,,,,,,,,,,,,,,,,,,
511,,,,,,売上,Sales,Doanh thu bán hàng và cung cấp dịch vụ,,"3,990,674,000","3,990,674,000","3,990,674,000","3,990,674,000","3,990,674,000","3,990,674,000",,"3,990,674,000","3,990,674,000","3,990,674,000","3,990,674,000","3,990,674,000","3,990,674,000","47,888,088,000","-47,888,088,000",SALE,
,5113,,,0,0,サービス提供の売上,Services sale,Doanh thu cung cấp dịch vụ,,"3,990,674,000","3,990,674,000","3,990,674,000","3,990,674,000","3,990,674,000","3,990,674,000",,"3,990,674,000","3,990,674,000","3,990,674,000","3,990,674,000","3,990,674,000","3,990,674,000","47,888,088,000","-47,888,088,000",SALE,
,,51131,400100,Sales of merchandise and finished goods,0,サービス提供の売上,Services sale : Software development,Doanh thu cung cấp dịch vụ: Sản xuất phần mềm,,"2,800,000,000","2,800,000,000","2,800,000,000","2,800,000,000","2,800,000,000","2,800,000,000",,"2,800,000,000","2,800,000,000","2,800,000,000","2,800,000,000","2,800,000,000","2,800,000,000","33,600,000,000","-33,600,000,000",SALE,
,,,,,,,,"U-Inform, U-manage, U-Bridge4 development",,"2,660,000,000","2,660,000,000","2,660,000,000","2,660,000,000","2,660,000,000","2,660,000,000",,"2,660,000,000","2,660,000,000","2,660,000,000","2,660,000,000","2,660,000,000","2,660,000,000","31,920,000,000",,,
,,,,,,,,"F&B, ASP, Stella SW design",,"140,000,000","140,000,000","140,000,000","140,000,000","140,000,000","140,000,000",,"140,000,000","140,000,000","140,000,000","140,000,000","140,000,000","140,000,000","1,680,000,000",,,
,,51132,400200,sales of maintenance,0,サービス提供の売上,Services sale : System Support Service,Doanh thu cung cấp dịch vụ: Dịch vụ hỗ trợ hệ thống UBIQULAR,,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","12,000,000,000","-12,000,000,000",SALE,
,,51138,400300,sales of market research,,サービス提供の売上,Sale,,,"190,674,000","190,674,000","190,674,000","190,674,000","190,674,000","190,674,000",,"190,674,000","190,674,000","190,674,000","190,674,000","190,674,000","190,674,000","2,288,088,000","-2,288,088,000",SALE,
515,,,,0,0,財務収益,Financial activities income,Doanh thu hoạt động tài chính,,-,-,-,-,-,-,,-,-,,,,,-,0,Non-Ope-Income,
