#1,,,,,,,,,,#2,,,,,,,,,
Account Code アカウント,,,Internal code,Internal Account Name,KEIEI houkoku,詳細,Description,Chỉ tiêu,,Account Code アカウント,,,Internal code,Internal Account Name,KEIEI houkoku,詳細,Description,Chỉ tiêu,Đơn giá
,,,,,,,,,,,,,,,,,,,
511,,,,,,売上,Sales,Doanh thu bán hàng và cung cấp dịch vụ,,511,,,,,,売上,Sales,Doanh thu bán hàng và cung cấp dịch vụ,
,5113,,,0,0,サービス提供の売上,Services sale,Doanh thu cung cấp dịch vụ,,,5113,,,0,0,サービス提供の売上,Services sale,Doanh thu cung cấp dịch vụ,
,,51131,400100,Sales of merchandise and finished goods,0,サービス提供の売上,Services sale : Software development,Doanh thu cung cấp dịch vụ: Sản xuất phần mềm,,,,51131,400100,Sales of merchandise and finished goods,0,サービス提供の売上,Services sale : Software development,Doanh thu cung cấp dịch vụ: Sản xuất phần mềm,
,,,,,,,,"U-Inform, U-manage, U-Bridge4 development",,,,,,,,,,"U-Inform, U-manage, U-Bridge4 development",
,,,,,,,,Design project,,,,,,,,,,"F&B, ASP, Stella SW design",
,,51132,400200,sales of maintenance,0,サービス提供の売上,Services sale : System Support Service,Doanh thu cung cấp dịch vụ: Dịch vụ hỗ trợ hệ thống UBIQULAR,,,,51132,400200,sales of maintenance,0,サービス提供の売上,Services sale : System Support Service,Doanh thu cung cấp dịch vụ: Dịch vụ hỗ trợ hệ thống UBIQULAR,
,,51138,400200,sales of maintenance,0,サービス提供の売上,Services sale : MarketingService,Doanh thu cung cấp dịch vụ: Dịch vụ nghiên cứu thị trường,,,,51138,400300,sales of market research,,サービス提供の売上,Sale,,
515,,,,0,0,財務収益,Financial activities income,Doanh thu hoạt động tài chính,,515,,,,0,0,財務収益,Financial activities income,Doanh thu hoạt động tài chính,
,5151,,450100,Interest earned,0,デポジット、貸付金の利息,"Interest on Deposits, Loans","Lãi cho vay, tiền gửi",,,5151,,450100,Interest earned,0,デポジット、貸付金の利息,"Interest on Deposits, Loans","Lãi cho vay, tiền gửi",
,5152,,450600,Foreign exchange gains,0,発生取引の為替差益,Gains of Exchange Rate Differences Arising in Current Period,Chênh lệch lãi tỷ giá phát sinh trong kỳ,,,5152,,450600,Foreign exchange gains,0,発生取引の為替差益,Gains of Exchange Rate Differences Arising in Current Period,Chênh lệch lãi tỷ giá phát sinh trong kỳ,
,5153,,450600,Foreign exchange gains,0,為替期末再評価差益,Gains from Exchange Rate Revaluation at the end of FY,Lãi chênh lệch tỷ giá do đánh giá lại cuối năm,,,5153,,450600,Foreign exchange gains,0,為替期末再評価差益,Gains from Exchange Rate Revaluation at the end of FY,Lãi chênh lệch tỷ giá do đánh giá lại cuối năm,
621,,,,0,0,原材料費,Direct raw materials cost,"Chi phí nguyên liệu, vật liệu trực tiếp",,621,,,,0,0,原材料費,Direct raw materials cost,"Chi phí nguyên liệu, vật liệu trực tiếp",
622,,,,0,0,直接労務費,Direct labor cost,Chi phí nhân công trực tiếp,,622,,,,0,0,直接労務費,Direct labor cost,Chi phí nhân công trực tiếp,
